laureate_id,laureate_name,prize_year,title,pub_year,paper_id,target_doi,journal,affiliation,is_prize_winning,field
30100,"palade, ge",1974,a small particulate component of the cytoplasm,1955,2080669995,10.1083/jcb.1.1.59,journal of cell biology,rockefeller university,YES,medicine
30101,"claude, a",1974,fractionation of mammalian liver cells by differential centrifugation i problems methods and preparation of extract,1946,2144434797,10.1084/jem.84.1.51,journal of experimental medicine,rockefeller university,YES,medicine
30101,"claude, a",1974,a study of tissue culture cells by electron microscopy methods and preliminary observations,1945,2162734772,10.1084/jem.81.3.233,journal of experimental medicine,rockefeller university,YES,medicine
30101,"claude, a",1974,fractionation of mammalian liver cells by differential centrifugation ii experimental procedures and results,1946,2090488193,10.1084/jem.84.1.61,journal of experimental medicine,rockefeller university,YES,medicine
30102,karl von frisch,1973,Aus dem Leben der Bienen,1927,1785442005,10.1007/978-3-642-64923-3,,,YES,medicine
30103,"lorenz, k",1973,Der Kumpan in der Umwelt des Vogels,1935,1999595872,10.1007/BF01905355,journal of ornithology,max planck society,YES,medicine
30103,"lorenz, k",1973,The Companion in the Bird's World,1937,2331925520,10.2307/4078077,the auk,max planck society,YES,medicine
30103,"lorenz, k",1973,ber die Bildung des Instinktbegriffes,1937,2029111077,10.1007/BF01491749,naturwissenschaften,max planck society,YES,medicine
30104,"edelman, gm",1972,dissociation of  globulin,1959,2317779596,10.1021/ja01521a071,journal of the american chemical society,,YES,medicine
30105,"porter, rr",1972,the hydrolysis of rabbit  globulin and antibodies with crystalline papain,1959,1786523947,10.1042/bj0730119,biochemical journal,national institute for medical research,YES,medicine
30107,von euler us,1970,evidence for the presence of noradrenaline in submicroscopic structures of adrenergic axons,1956,2030670408,10.1038/177044b0,nature,,YES,medicine
30108,"axelrod, j",1970,o methylation of epinephrine and other catechols in vitro and in vivo,1957,2036416641,10.1126/science.126.3270.400,science,national institutes of health,YES,medicine
30109,"katz, b",1970,the effect of sodium ions on the electrical activity of the giant axon of the squid,1949,2097400197,10.1113/jphysiol.1949.sp004310,the journal of physiology,university college london,YES,medicine
30109,"katz, b",1970,quantal components of the end plate potential,1954,2106081526,10.1113/jphysiol.1954.sp005129,the journal of physiology,university college london,YES,medicine
30109,"katz, b",1970,a study of the desensitization produced by acetylcholine at the motor end plate,1957,2009285843,10.1113/jphysiol.1957.sp005838,the journal of physiology,,YES,medicine
30109,"katz, b",1970,an analysis of the end plate potential recorded with an intra cellular electrode,1951,2117059432,10.1113/jphysiol.1951.sp004675,the journal of physiology,,YES,medicine
30109,"katz, b",1970,spontaneous subthreshold activity at motor nerve endings,1952,2102492718,10.1113/jphysiol.1952.sp004735,the journal of physiology,university college london,YES,medicine
30111,"hershey, ad",1969,independent functions of viral protein and nucleic acid in growth of bacteriophage,1952,1988037647,10.1085/jgp.36.1.39,the journal of general physiology,,YES,medicine
